inspection_id,name,address,results,last_inspection_date,risk,lat,long,yelp_id,yelp_name,yelp_address,yelp_rating,yelp_is_closed,yelp_review_count,yelp_category
289221,Nicky's Grill & Yogurt Oasis,10255 S Western Ave,Pass,2010-09-21,Risk 2 (Medium),41.70658293,-87.68148089,nickys-grill-and-yogurt-oasis-chicago,Nicky's Grill and Yogurt Oasis,10255 S Western Ave,4.0,False,8,Ice Cream & Frozen Yogurt
250274,Jimmy John's,51 W Division St,Pass w/ Conditions,2010-10-05,Risk 2 (Medium),41.90380601,-87.63058113,jimmy-johns-chicago-28,Jimmy John's,51 W Division,4.0,False,11,Sandwiches
596350,Daata Darbar,2306 W Devon Ave,Fail,2011-07-27,Risk 1 (High),41.99787636,-87.68776355,daata-darbar-chicago,Daata Darbar,2306 W Devon Ave,4.0,False,17,Indian
413250,Cavanaugh's Bar & Restaurant,53 W Jackson Blvd,Pass,2011-06-03,Risk 1 (High),41.87805068,-87.62978101,cavanaughs-chicago,Cavanaugh's,53 W Jackson Blvd,3.5,False,41,Restaurants
343224,G&g Restaurant,321 S Jefferson St,Pass,2011-08-05,Risk 1 (High),41.87733958,-87.6423689,g-and-g-restaurant-chicago-2,G & G Restaurant,321 S Jefferson St,4.0,False,5,Diners
98494,Wingstop,3326 N Western Ave,Pass w/ Conditions,2012-02-10,Risk 1 (High),41.94207713,-87.68839243,wingstop-chicago-3,Wingstop,3326 N Western Ave,3.0,False,66,Chicken Wings
234093,China House,4901 W Diversey Ave,Pass,2010-05-20,Risk 1 (High),41.93138856,-87.74917553,china-house-restaurant-chicago,China House Restaurant,4901 W Diversey Avenue,3.5,False,2,Chinese
391252,,4609 N Lincoln Ave,Pass w/ Conditions,2010-10-27,Risk 1 (High),41.96521836,-87.68615654,fine-wine-brokers-chicago,Fine Wine Brokers,4621 N Lincoln Ave,5.0,False,67,"Beer, Wine & Spirits"
569660,Canteen,251 E Huron St,Pass,2011-10-28,Risk 1 (High),41.8949033,-87.62074373,big-delicious-planet-chicago-2,Big Delicious Planet,412 N Wolcott Ave,5.0,False,7,Coffee & Tea
517343,Dunkin Donuts / Baskin Robbins,1982 N Clybourn Ave,Pass,2011-05-13,Risk 2 (Medium),41.917167,-87.65845323,dunkin-donuts-baskin-robbins-chicago-12,Dunkin' Donuts / Baskin Robbins,1244 N Ashland Ave,2.5,False,19,Donuts
